2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,340.45,464.41,"91,480",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,316.44,431.66,"88,375",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,550.62,751.11,"86,440",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,298.14,406.70,"86,252",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,294.61,401.89,"85,944",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,247.25,337.28,"83,896",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,301.27,410.97,"83,186",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,285.58,389.57,"81,805",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,197.00,268.73,"74,704",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,316.65,431.95,"70,359",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,290.90,396.83,"68,118",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,382.05,521.16,"67,129",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,323.44,441.22,"64,735",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,323.49,441.28,"62,393",,,,,,,,,,,
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,266.93,364.13,"62,011",,,,,,,,,,,
79,SAV,Savannah/Hilton Head International,Savannah,GA,405.62,553.32,"57,556",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,329.48,449.46,"57,118",,,,,,,,,,,
81,LGB,Long Beach Airport,Long Beach,CA,221.16,301.68,"57,022",,,,,,,,,,,
82,PNS,Pensacola International,Pensacola,FL,379.20,517.27,"54,946",,,,,,,,,,,
83,SYR,Syracuse Hancock International,Syracuse,NY,344.13,469.44,"52,889",,,,,,,,,,,
84,FAT,Fresno Yosemite International,Fresno,CA,373.97,510.14,"52,418",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,391.74,534.38,"49,200",,,,,,,,,,,
86,GSP,Greenville-Spartanburg International,Greer,SC,404.50,551.79,"49,148",,,,,,,,,,,
87,COS,City of Colorado Springs Municipal,Colorado Springs,CO,359.82,490.84,"48,798",,,,,,,,,,,
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,326.00,444.71,"48,278",,,,,,,,,,,
89,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,280.44,382.55,"47,981",,,,,,,,,,,
90,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,191.58,261.34,"44,410",,,,,,,,,,,
91,MYR,Myrtle Beach International,Myrtle Beach,SC,267.49,364.89,"44,035",,,,,,,,,,,
92,PWM,Portland International Jetport,Portland,ME,317.81,433.53,"43,040",,,,,,,,,,,
93,MSN,Dane County Regional-Truax Field,Madison,WI,362.03,493.85,"42,256",,,,,,,,,,,
94,BZN,Bozeman Yellowstone International,Bozeman,MT,421.65,575.19,"39,718",,,,,,,,,,,
95,SFB,Orlando Sanford International,Sanford,FL,121.57,165.84,"39,522",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,372.99,508.80,"39,514",,,,,,,,,,,
97,PIE,St Pete Clearwater International,St. Petersburg,FL,128.83,175.75,"37,944",,,,,,,,,,,
98,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,326.25,445.05,"37,538",,,,,,,,,,,
99,GSO,Piedmont Triad International,Greensboro/High Point,NC,345.80,471.72,"35,317",,,,,,,,,,,
100,HPN,Westchester County,White Plains,NY,272.27,371.40,"35,091",,,,,,,,,,,
101,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,381.98,521.06,"33,692",,,,,,,,,,,
102,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,155.55,212.19,"33,615",,,,,,,,,,,
103,AVL,Asheville Regional,Asheville,NC,390.97,533.34,"33,509",,,,,,,,,,,
104,XNA,Northwest Arkansas National,Fayetteville,AR,430.88,587.77,"33,498",,,,,,,,,,,
105,EUG,Mahlon Sweet Field,Eugene,OR,375.79,512.63,"33,026",,,,,,,,,,,
106,LIH,Lihue Airport,Lihue,HI,168.10,229.32,"32,532",,,,,,,,,,,
107,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,505.66,689.79,"31,183",,,,,,,,,,,
108,MDT,Harrisburg International,Harrisburg,PA,357.69,487.93,"30,949",,,,,,,,,,,
109,DAY,James M Cox/Dayton International,Dayton,OH,296.13,403.96,"30,855",,,,,,,,,,,
110,FSD,Joe Foss Field,Sioux Falls,SD,423.18,577.27,"29,802",,,,,,,,,,,
111,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,343.86,469.07,"29,251",,,,,,,,,,,
112,PGD,Punta Gorda Airport,Punta Gorda,FL,96.14,131.15,"28,272",,,,,,,,,,,
113,ISP,Long Island MacArthur,Islip,NY,256.21,349.50,"28,265",,,,,,,,,,,
114,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,352.75,481.19,"27,916",,,,,,,,,,,
115,LEX,Blue Grass,Lexington,KY,399.65,545.17,"27,888",,,,,,,,,,,
116,MAF,Midland International Air and Space Port,Midland/Odessa,TX,301.30,411.01,"27,625",,,,,,,,,,,
117,SGF,Springfield-Branson National,Springfield,MO,369.19,503.62,"26,473",,,,,,,,,,,
118,MHT,Manchester Boston Regional,Manchester,NH,288.04,392.92,"26,222",,,,,,,,,,,
119,MFR,Rogue Valley International - Medford,Medford,OR,349.24,476.41,"26,110",,,,,,,,,,,
120,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,487.62,665.17,"25,469",,,,,,,,,,,
121,ILM,Wilmington International,Wilmington,NC,343.45,468.50,"24,558",,,,,,,,,,,
122,FAR,Hector International,Fargo,ND,388.69,530.22,"24,510",,,,,,,,,,,
123,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,310.59,423.69,"24,153",,,,,,,,,,,
124,CAE,Columbia Metropolitan,Columbia,SC,454.63,620.17,"24,128",,,,,,,,,,,
125,SBA,Santa Barbara Municipal,Santa Barbara,CA,397.32,541.99,"23,984",,,,,,,,,,,
126,RDM,Roberts Field,Bend/Redmond,OR,313.47,427.61,"23,093",,,,,,,,,,,
127,ATW,Appleton International,Appleton,WI,356.34,486.09,"22,839",,,,,,,,,,,
128,FWA,Fort Wayne International,Fort Wayne,IN,370.36,505.22,"22,770",,,,,,,,,,,
129,CHA,Lovell Field,Chattanooga,TN,340.17,464.03,"22,081",,,,,,,,,,,
130,LBB,Lubbock Preston Smith International,Lubbock,TX,280.23,382.27,"21,979",,,,,,,,,,,
131,SBN,South Bend International,South Bend,IN,336.61,459.17,"21,936",,,,,,,,,,,
132,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,418.27,570.57,"21,441",,,,,,,,,,,
133,BTV,Burlington International,Burlington,VT,328.66,448.34,"21,231",,,,,,,,,,,
134,FAI,Fairbanks International,Fairbanks,AK,554.02,755.75,"20,659",,,,,,,,,,,
135,BIL,Billings Logan International,Billings,MT,368.13,502.17,"19,384",,,,,,,,,,,
136,MSO,Missoula Montana,Missoula,MT,430.28,586.95,"19,023",,,,,,,,,,,
137,ACY,Atlantic City International,Atlantic City,NJ,176.35,240.56,"18,671",,,,,,,,,,,
138,STT,Cyril E King,Charlotte Amalie,VI,389.65,531.54,"18,308",,,,,,,,,,,
139,ITO,Hilo International,Hilo,HI,143.80,196.16,"17,964",,,,,,,,,,,
140,TLH,Tallahassee International,Tallahassee,FL,411.55,561.41,"17,768",,,,,,,,,,,
141,EYW,Key West International,Key West,FL,463.18,631.83,"17,045",,,,,,,,,,,
142,FCA,Glacier Park International,Kalispell,MT,487.18,664.57,"16,984",,,,,,,,,,,
143,HRL,Valley International,Harlingen/San Benito,TX,257.42,351.16,"16,866",,,,,,,,,,,
144,FNT,Bishop International,Flint,MI,275.37,375.64,"16,829",,,,,,,,,,,
145,PIA,General Downing - Peoria International,Peoria,IL,330.63,451.01,"16,755",,,,,,,,,,,
146,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,406.12,554.00,"16,605",,,,,,,,,,,
147,MLI,Quad Cities International,Moline,IL,323.40,441.15,"16,008",,,,,,,,,,,
148,AMA,Rick Husband Amarillo International,Amarillo,TX,293.75,400.72,"15,963",,,,,,,,,,,
149,CRP,Corpus Christi International,Corpus Christi,TX,359.87,490.91,"15,672",,,,,,,,,,,
150,AGS,Augusta Regional at Bush Field,Augusta,GA,449.42,613.07,"15,230",,,,,,,,,,,
151,GRB,Green Bay Austin Straubel International,Green Bay,WI,383.41,523.02,"15,022",,,,,,,,,,,
152,TVC,Cherry Capital,Traverse City,MI,488.63,666.56,"15,003",,,,,,,,,,,
153,RAP,Rapid City Regional,Rapid City,SD,379.29,517.40,"15,000",,,,,,,,,,,
154,BGR,Bangor International,Bangor,ME,411.33,561.11,"14,645",,,,,,,,,,,
155,SHV,Shreveport Regional,Shreveport,LA,480.01,654.79,"14,381",,,,,,,,,,,
156,JAC,Jackson Hole,Jackson,WY,455.21,620.96,"14,367",,,,,,,,,,,
157,ROA,Roanoke Blacksburg Regional,Roanoke,VA,406.55,554.58,"13,424",,,,,,,,,,,
158,BQN,Rafael Hernandez,Aguadilla,PR,221.27,301.84,"13,404",,,,,,,,,,,
159,DAB,Daytona Beach International,Daytona Beach,FL,344.00,469.26,"13,300",,,,,,,,,,,
160,GJT,Grand Junction Regional,Grand Junction,CO,349.25,476.43,"13,180",,,,,,,,,,,
161,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,434.26,592.39,"13,002",,,,,,,,,,,
162,BIS,Bismarck Municipal,Bismarck/Mandan,ND,441.48,602.24,"12,907",,,,,,,,,,,
163,CHO,Charlottesville Albemarle,Charlottesville,VA,420.49,573.60,"12,825",,,,,,,,,,,
164,CAK,Akron-Canton Regional,Akron,OH,256.25,349.56,"12,492",,,,,,,,,,,
165,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,102.29,139.53,"12,300",,,,,,,,,,,
166,MOB,Mobile Regional,Mobile,AL,476.13,649.50,"12,256",,,,,,,,,,,
167,GNV,Gainesville Regional,Gainesville,FL,434.25,592.36,"12,222",,,,,,,,,,,
168,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,442.57,603.72,"11,902",,,,,,,,,,,
169,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,377.59,515.08,"11,792",,,,,,,,,,,
170,IDA,Idaho Falls Regional,Idaho Falls,ID,455.46,621.31,"11,705",,,,,,,,,,,
171,SBP,San Luis County Regional,San Luis Obispo,CA,454.63,620.17,"11,284",,,,,,,,,,,
