Average Domestic Airline Itinerary Fares By Origin City for 2020 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,291.59,329.72," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,276.92,313.13," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,299.23,338.36," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,252.89,285.96," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,305.94,345.95," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,287.04,324.58," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,323.76,366.09," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,280.89,317.62," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,215.74,243.96," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,290.54,328.53," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,344.35,389.38," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,338.28,382.52," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,210.13,237.60," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,314.42,355.53," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,293.15,331.48," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,313.78,354.81," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,214.33,242.36," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,324.51,366.94," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,279.91,316.52," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,282.96,319.97," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,258.94,292.80," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,265.82,300.58," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,267.48,302.45," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,285.64,322.99," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,329.56,372.66," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,289.01,326.80," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,315.73,357.02," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,335.27,379.11," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,271.04,306.49," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,282.80,319.78," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,234.64,265.32," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,288.82,326.58," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,301.17,340.56," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,207.74,234.91," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,259.47,293.40," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,308.82,349.20," 207,664 ",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,286.55,324.02," 206,535 ",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,296.31,335.05," 201,225 ",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,256.61,290.16," 199,421 ",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,256.71,290.27," 194,429 ",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,250.02,282.72," 194,387 ",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,253.71,286.89," 188,154 ",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,379.19,428.78," 187,452 ",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,266.05,300.84," 183,219 ",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,325.27,367.81," 182,534 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,292.82,331.11," 181,455 ",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,311.92,352.71," 180,661 ",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,269.28,304.50," 173,112 ",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,300.08,339.32," 167,522 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,258.39,292.18," 164,832 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,312.68,353.57," 142,941 ",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,302.28,341.81," 131,320 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,305.89,345.89," 129,900 ",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,286.54,324.01," 128,292 ",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,291.90,330.08," 120,424 ",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,307.78,348.03," 106,587 ",,,,,,,,,,,
57,MEM,Memphis International,Memphis,TN,302.55,342.12," 106,166 ",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,319.54,361.33," 99,005 ",,,,,,,,,,,
