Average Domestic Airline Itinerary Fares By Origin City for 2008 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,389.39,529.28," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,361.46,491.33," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,351.23,477.42," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,325.86,442.94," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,428.99,583.11," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,353.61,480.65," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,406.16,552.08," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,305.19,414.84," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,260.03,353.45," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,391.30,531.89," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,363.43,494.00," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,407.65,554.11," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,257.75,350.35," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,424.75,577.35," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,341.14,463.70," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,334.52,454.70," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,259.70,353.00," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,422.51,574.31," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,348.28,473.41," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,321.50,437.00," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,282.51,384.01," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,347.47,472.30," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,291.51,396.24," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,338.76,460.46," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,330.10,448.70," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,344.36,468.08," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,411.72,559.64," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,394.23,535.87," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,313.70,426.41," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,302.46,411.13," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,265.04,360.26," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,312.39,424.62," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,323.67,439.96," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,313.60,426.26," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,226.79,308.28," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,309.11,420.16," 207,664 ",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,314.05,426.88," 206,535 ",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,314.95,428.10," 201,225 ",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,371.32,504.72," 199,421 ",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,286.78,389.82," 194,429 ",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,261.87,355.95," 194,387 ",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,304.54,413.95," 188,154 ",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,432.10,587.34," 187,452 ",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,570.18,775.03," 183,219 ",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,336.08,456.83," 182,534 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,313.44,426.05," 181,455 ",,,,,,,,,,,
