2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,338.53,491.45,"91,480",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,321.10,466.15,"88,375",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,481.65,699.23,"86,440",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,300.85,436.75,"86,252",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,312.68,453.92,"85,944",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,264.21,383.56,"83,896",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,296.20,430.00,"83,186",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,266.60,387.03,"81,805",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,207.76,301.61,"74,704",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,316.87,460.01,"70,359",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,296.48,430.40,"68,118",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,401.11,582.29,"67,129",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,326.60,474.13,"64,735",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,347.32,504.21,"62,393",,,,,,,,,,,
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,306.87,445.49,"62,011",,,,,,,,,,,
79,SAV,Savannah/Hilton Head International,Savannah,GA,387.00,561.81,"57,556",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,337.02,489.25,"57,118",,,,,,,,,,,
81,LGB,Long Beach Airport,Long Beach,CA,264.81,384.43,"57,022",,,,,,,,,,,
82,PNS,Pensacola International,Pensacola,FL,384.24,557.81,"54,946",,,,,,,,,,,
83,SYR,Syracuse Hancock International,Syracuse,NY,360.55,523.42,"52,889",,,,,,,,,,,
84,FAT,Fresno Yosemite International,Fresno,CA,394.85,573.21,"52,418",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,460.91,669.11,"49,200",,,,,,,,,,,
86,GSP,Greenville-Spartanburg International,Greer,SC,468.89,680.69,"49,148",,,,,,,,,,,
87,COS,City of Colorado Springs Municipal,Colorado Springs,CO,390.88,567.45,"48,798",,,,,,,,,,,
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,336.26,488.16,"48,278",,,,,,,,,,,
89,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,305.00,442.78,"47,981",,,,,,,,,,,
90,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,206.37,299.59,"44,410",,,,,,,,,,,
91,MYR,Myrtle Beach International,Myrtle Beach,SC,322.60,468.32,"44,035",,,,,,,,,,,
92,PWM,Portland International Jetport,Portland,ME,401.74,583.21,"43,040",,,,,,,,,,,
93,MSN,Dane County Regional-Truax Field,Madison,WI,412.45,598.76,"42,256",,,,,,,,,,,
94,BZN,Bozeman Yellowstone International,Bozeman,MT,510.10,740.53,"39,718",,,,,,,,,,,
95,SFB,Orlando Sanford International,Sanford,FL,149.63,217.23,"39,522",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,401.24,582.49,"39,514",,,,,,,,,,,
97,PIE,St Pete Clearwater International,St. Petersburg,FL,171.94,249.60,"37,944",,,,,,,,,,,
98,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,393.94,571.90,"37,538",,,,,,,,,,,
99,GSO,Piedmont Triad International,Greensboro/High Point,NC,407.15,591.06,"35,317",,,,,,,,,,,
100,HPN,Westchester County,White Plains,NY,357.97,519.68,"35,091",,,,,,,,,,,
101,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,407.91,592.17,"33,692",,,,,,,,,,,
102,AVL,Asheville Regional,Asheville,NC,483.39,701.75,"33,509",,,,,,,,,,,
103,XNA,Northwest Arkansas National,Fayetteville,AR,454.09,659.21,"33,498",,,,,,,,,,,
104,EUG,Mahlon Sweet Field,Eugene,OR,414.58,601.85,"33,026",,,,,,,,,,,
105,LIH,Lihue Airport,Lihue,HI,171.97,249.65,"32,532",,,,,,,,,,,
106,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,520.94,756.27,"31,183",,,,,,,,,,,
107,MDT,Harrisburg International,Harrisburg,PA,466.71,677.54,"30,949",,,,,,,,,,,
108,DAY,James M Cox/Dayton International,Dayton,OH,334.02,484.91,"30,855",,,,,,,,,,,
109,FSD,Joe Foss Field,Sioux Falls,SD,437.69,635.40,"29,802",,,,,,,,,,,
110,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,369.30,536.13,"29,251",,,,,,,,,,,
111,ISP,Long Island MacArthur,Islip,NY,232.81,337.97,"28,265",,,,,,,,,,,
112,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,359.88,522.44,"27,916",,,,,,,,,,,
113,LEX,Blue Grass,Lexington,KY,434.89,631.33,"27,888",,,,,,,,,,,
114,MAF,Midland International Air and Space Port,Midland/Odessa,TX,268.36,389.58,"27,625",,,,,,,,,,,
115,SGF,Springfield-Branson National,Springfield,MO,436.31,633.41,"26,473",,,,,,,,,,,
116,MHT,Manchester Boston Regional,Manchester,NH,301.57,437.80,"26,222",,,,,,,,,,,
117,MFR,Rogue Valley International - Medford,Medford,OR,421.00,611.17,"26,110",,,,,,,,,,,
118,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,515.05,747.71,"25,469",,,,,,,,,,,
119,ILM,Wilmington International,Wilmington,NC,430.66,625.20,"24,558",,,,,,,,,,,
120,FAR,Hector International,Fargo,ND,465.42,675.66,"24,510",,,,,,,,,,,
121,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,402.13,583.78,"24,153",,,,,,,,,,,
122,CAE,Columbia Metropolitan,Columbia,SC,455.65,661.48,"24,128",,,,,,,,,,,
123,SBA,Santa Barbara Municipal,Santa Barbara,CA,425.53,617.76,"23,984",,,,,,,,,,,
124,RDM,Roberts Field,Bend/Redmond,OR,386.94,561.73,"23,093",,,,,,,,,,,
125,ATW,Appleton International,Appleton,WI,430.34,624.74,"22,839",,,,,,,,,,,
126,FWA,Fort Wayne International,Fort Wayne,IN,482.61,700.61,"22,770",,,,,,,,,,,
127,CHA,Lovell Field,Chattanooga,TN,467.19,678.23,"22,081",,,,,,,,,,,
128,LBB,Lubbock Preston Smith International,Lubbock,TX,267.60,388.47,"21,979",,,,,,,,,,,
129,SBN,South Bend International,South Bend,IN,364.80,529.59,"21,936",,,,,,,,,,,
130,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,452.00,656.17,"21,441",,,,,,,,,,,
131,BTV,Burlington International,Burlington,VT,360.52,523.37,"21,231",,,,,,,,,,,
132,FAI,Fairbanks International,Fairbanks,AK,485.94,705.45,"20,659",,,,,,,,,,,
133,BIL,Billings Logan International,Billings,MT,425.58,617.83,"19,384",,,,,,,,,,,
134,MSO,Missoula Montana,Missoula,MT,477.40,693.05,"19,023",,,,,,,,,,,
135,ACY,Atlantic City International,Atlantic City,NJ,226.93,329.43,"18,671",,,,,,,,,,,
136,STT,Cyril E King,Charlotte Amalie,VI,391.09,567.76,"18,308",,,,,,,,,,,
137,ITO,Hilo International,Hilo,HI,151.91,220.53,"17,964",,,,,,,,,,,
138,TLH,Tallahassee International,Tallahassee,FL,445.63,646.93,"17,768",,,,,,,,,,,
139,EYW,Key West International,Key West,FL,403.90,586.35,"17,045",,,,,,,,,,,
140,FCA,Glacier Park International,Kalispell,MT,512.83,744.49,"16,984",,,,,,,,,,,
141,HRL,Valley International,Harlingen/San Benito,TX,243.75,353.86,"16,866",,,,,,,,,,,
142,FNT,Bishop International,Flint,MI,298.89,433.91,"16,829",,,,,,,,,,,
143,PIA,General Downing - Peoria International,Peoria,IL,374.67,543.92,"16,755",,,,,,,,,,,
144,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,408.40,592.88,"16,605",,,,,,,,,,,
145,MLI,Quad Cities International,Moline,IL,331.03,480.56,"16,008",,,,,,,,,,,
146,AMA,Rick Husband Amarillo International,Amarillo,TX,285.47,414.43,"15,963",,,,,,,,,,,
147,CRP,Corpus Christi International,Corpus Christi,TX,351.57,510.39,"15,672",,,,,,,,,,,
148,AGS,Augusta Regional at Bush Field,Augusta,GA,558.23,810.40,"15,230",,,,,,,,,,,
149,GRB,Green Bay Austin Straubel International,Green Bay,WI,394.56,572.80,"15,022",,,,,,,,,,,
150,TVC,Cherry Capital,Traverse City,MI,464.82,674.79,"15,003",,,,,,,,,,,
151,RAP,Rapid City Regional,Rapid City,SD,481.57,699.10,"15,000",,,,,,,,,,,
152,BGR,Bangor International,Bangor,ME,469.92,682.20,"14,645",,,,,,,,,,,
153,SHV,Shreveport Regional,Shreveport,LA,458.63,665.80,"14,381",,,,,,,,,,,
154,JAC,Jackson Hole,Jackson,WY,519.44,754.08,"14,367",,,,,,,,,,,
155,ROA,Roanoke Blacksburg Regional,Roanoke,VA,472.61,686.10,"13,424",,,,,,,,,,,
156,BQN,Rafael Hernandez,Aguadilla,PR,222.57,323.11,"13,404",,,,,,,,,,,
157,DAB,Daytona Beach International,Daytona Beach,FL,384.66,558.42,"13,300",,,,,,,,,,,
158,GJT,Grand Junction Regional,Grand Junction,CO,474.37,688.65,"13,180",,,,,,,,,,,
159,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,455.47,661.22,"13,002",,,,,,,,,,,
160,BIS,Bismarck Municipal,Bismarck/Mandan,ND,444.66,645.53,"12,907",,,,,,,,,,,
161,CHO,Charlottesville Albemarle,Charlottesville,VA,501.97,728.72,"12,825",,,,,,,,,,,
162,CAK,Akron-Canton Regional,Akron,OH,274.29,398.19,"12,492",,,,,,,,,,,
163,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,199.36,289.41,"12,300",,,,,,,,,,,
164,MOB,Mobile Regional,Mobile,AL,505.37,733.66,"12,256",,,,,,,,,,,
165,GNV,Gainesville Regional,Gainesville,FL,459.37,666.88,"12,222",,,,,,,,,,,
166,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,492.02,714.28,"11,902",,,,,,,,,,,
167,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,374.83,544.15,"11,792",,,,,,,,,,,
168,IDA,Idaho Falls Regional,Idaho Falls,ID,443.02,643.14,"11,705",,,,,,,,,,,
169,SBP,San Luis County Regional,San Luis Obispo,CA,444.26,644.94,"11,284",,,,,,,,,,,
170,LCK,Rickenbacker International,Columbus,OH,215.56,312.93,"10,329",,,,,,,,,,,
171,EVV,Evansville Regional,Evansville,IN,437.51,635.14,"10,307",,,,,,,,,,,
172,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,469.86,682.11,"10,155",,,,,,,,,,,
173,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,439.16,637.54,"10,009",,,,,,,,,,,
174,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,303.40,440.45,"9,970",,,,,,,,,,,
175,JNU,Juneau International,Juneau,AK,428.90,622.65,"9,873",,,,,,,,,,,
176,MRY,Monterey Regional,Monterey,CA,460.42,668.40,"9,503",,,,,,,,,,,
177,BLI,Bellingham International,Bellingham,WA,342.98,497.91,"9,292",,,,,,,,,,,
178,TTN,Trenton Mercer,Trenton,NJ,176.36,256.03,"9,198",,,,,,,,,,,
179,MLB,Melbourne Orlando International,Melbourne,FL,456.34,662.48,"9,185",,,,,,,,,,,
180,DRO,Durango La Plata County,Durango,CO,486.30,705.98,"9,163",,,,,,,,,,,
181,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,505.01,733.13,"8,897",,,,,,,,,,,
182,BFL,Meadows Field,Bakersfield,CA,423.68,615.07,"8,531",,,,,,,,,,,
183,GRK,Robert Gray AAF,Killeen,TX,439.54,638.09,"8,517",,,,,,,,,,,
184,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,447.93,650.27,"8,170",,,,,,,,,,,
185,MOT,Minot International,Minot,ND,527.34,765.56,"7,755",,,,,,,,,,,
186,SGU,St George Regional,St. George,UT,330.80,480.23,"7,705",,,,,,,,,,,
187,GTF,Great Falls International,Great Falls,MT,495.53,719.38,"7,637",,,,,,,,,,,
188,RFD,Chicago/Rockford International,Rockford,IL,240.31,348.86,"7,383",,,,,,,,,,,
189,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,553.39,803.36,"7,337",,,,,,,,,,,
190,STX,Henry E. Rohlsen,Christiansted,VI,432.47,627.83,"7,334",,,,,,,,,,,
191,MTJ,Montrose Regional,Montrose/Delta,CO,515.79,748.79,"7,013",,,,,,,,,,,
192,SCE,University Park,State College,PA,493.17,715.94,"6,866",,,,,,,,,,,
193,DLH,Duluth International,Duluth,MN,468.29,679.83,"6,652",,,,,,,,,,,
194,MGM,Montgomery Regional,Montgomery,AL,480.83,698.03,"6,584",,,,,,,,,,,
195,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,468.75,680.49,"6,574",,,,,,,,,,,
196,HHH,Hilton Head Airport,Hilton Head,SC,485.38,704.64,"6,408",,,,,,,,,,,
197,LBE,Arnold Palmer Regional,Latrobe,PA,409.76,594.86,"6,136",,,,,,,,,,,
198,BRO,Brownsville South Padre Island International,Brownsville,TX,401.52,582.89,"6,127",,,,,,,,,,,
199,LAN,Capital Region International,Lansing,MI,370.61,538.02,"5,888",,,,,,,,,,,
200,LRD,Laredo International,Laredo,TX,382.51,555.29,"5,865",,,,,,,,,,,
201,AEX,Alexandria International,Alexandria,LA,465.20,675.34,"5,806",,,,,,,,,,,
202,CWA,Central Wisconsin,Mosinee,WI,440.52,639.52,"5,754",,,,,,,,,,,
203,TOL,Eugene F Kranz Toledo Express,Toledo,OH,347.83,504.95,"5,563",,,,,,,,,,,
204,LSE,La Crosse Regional,La Crosse,WI,459.49,667.05,"5,497",,,,,,,,,,,
205,EGE,Eagle County Regional,Eagle,CO,537.53,780.35,"5,285",,,,,,,,,,,
206,YUM,Yuma MCAS/Yuma International,Yuma,AZ,422.59,613.48,"5,255",,,,,,,,,,,
