2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,352.99,599.90,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,409.26,695.54,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,339.23,576.52,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,434.58,738.58,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,449.52,763.96,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,336.56,571.98,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,441.85,750.92,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,267.64,454.85,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,279.28,474.63,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,406.26,690.44,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,455.23,773.67,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,451.70,767.67,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,222.77,378.60,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,390.05,662.89,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,424.28,721.07,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,331.14,562.77,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,257.15,437.03,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,410.16,697.07,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,361.53,614.42,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,299.89,509.67,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,279.25,474.59,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,366.92,623.59,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,281.66,478.68,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,346.46,588.81,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,294.22,500.03,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,307.80,523.11,"318,399",,,,,,,,,,,
