Average Domestic Airline Itinerary Fares By Origin City for 2014 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,422.89,522.78," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,415.75,513.96," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,424.95,525.33," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,336.73,416.27," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,492.22,608.48," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,379.42,469.04," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,425.24,525.69," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,359.32,444.20," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,312.40,386.19," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,381.96,472.18," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,432.28,534.38," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,436.27,539.32," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,266.04,328.88," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,435.05,537.81," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,430.07,531.66," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,429.93,531.48," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,296.46,366.49," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,492.58,608.93," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,395.84,489.34," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,375.61,464.33," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,336.84,416.41," 369,882 ",,,,,,,,,,,
