Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,411.92,517.48," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,400.51,503.15," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,397.86,499.81," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,327.21,411.06," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,487.50,612.42," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,380.51,478.02," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,415.66,522.18," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,348.40,437.68," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,294.75,370.28," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,373.46,469.16," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,416.81,523.62," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,427.71,537.31," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,262.20,329.39," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,438.55,550.93," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,408.52,513.21," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,422.25,530.46," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,284.28,357.13," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,499.82,627.91," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,370.60,465.57," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,364.42,457.80," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,327.71,411.69," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,380.84,478.43," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,325.50,408.91," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,386.60,485.67," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,410.04,515.12," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,361.68,454.36," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,375.58,471.82," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,410.72,515.97," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,371.43,466.62," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,371.95,467.26," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,316.06,397.06," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,370.21,465.08," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,361.03,453.54," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,307.89,386.80," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,291.83,366.61," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,366.67,460.63," 207,664 ",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,396.13,497.64," 206,535 ",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,348.28,437.54," 201,225 ",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,453.09,569.21," 199,421 ",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,341.41,428.90," 194,429 ",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,306.44,384.97," 194,387 ",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,359.08,451.10," 188,154 ",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,495.88,622.95," 187,452 ",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,520.06,653.33," 183,219 ",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,374.70,470.72," 182,534 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,389.16,488.88," 181,455 ",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,392.00,492.46," 180,661 ",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,342.54,430.32," 173,112 ",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,395.07,496.31," 167,522 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,324.00,407.03," 164,832 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,402.60,505.77," 142,941 ",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,353.80,444.46," 131,320 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,380.06,477.46," 129,900 ",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,347.02,435.94," 128,292 ",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,328.85,413.12," 120,424 ",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,382.77,480.86," 106,587 ",,,,,,,,,,,
57,MEM,Memphis International,Memphis,TN,467.16,586.88," 106,166 ",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,420.17,527.85," 99,005 ",,,,,,,,,,,
59,BOI,Boise Air Terminal,Boise,ID,396.06,497.56," 97,566 ",,,,,,,,,,,
60,BUR,Bob Hope,Burbank,CA,284.20,357.03," 97,139 ",,,,,,,,,,,
61,ORF,Norfolk International,Norfolk,VA,410.31,515.45," 96,550 ",,,,,,,,,,,
62,CHS,Charleston AFB/International,Charleston,SC,400.84,503.56," 92,905 ",,,,,,,,,,,
63,GRR,Gerald R. Ford International,Grand Rapids,MI,442.34,555.70," 91,893 ",,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,409.31,514.20," 91,480 ",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,400.95,503.70," 88,375 ",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,529.63,665.35," 86,440 ",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,377.01,473.63," 86,252 ",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,350.49,440.30," 85,944 ",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,324.47,407.62," 83,896 ",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,381.99,479.88," 83,186 ",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,349.76,439.39," 81,805 ",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,271.44,341.00," 74,704 ",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,381.10,478.76," 70,359 ",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,338.91,425.76," 68,118 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,396.19,497.72," 67,129 ",,,,,,,,,,,
