2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,319.71,495.36,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,320.58,496.70,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,294.35,456.06,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,325.26,503.96,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,389.71,603.81,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,316.60,490.54,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,369.48,572.47,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,250.33,387.85,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,241.75,374.56,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,316.34,490.13,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,278.68,431.79,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,395.82,613.29,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,222.73,345.10,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,378.56,586.54,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,313.56,485.82,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,316.40,490.23,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,223.97,347.02,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,371.85,576.15,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,302.19,468.21,"416,891",,,,,,,,,,,
