Average Domestic Airline Itinerary Fares By Origin City for 2011 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
60,BUR,Bob Hope,Burbank,CA,289.34,376.45," 97,139 ",,,,,,,,,,,
61,ORF,Norfolk International,Norfolk,VA,394.07,512.70," 96,550 ",,,,,,,,,,,
62,CHS,Charleston AFB/International,Charleston,SC,423.24,550.65," 92,905 ",,,,,,,,,,,
63,GRR,Gerald R. Ford International,Grand Rapids,MI,400.11,520.56," 91,893 ",,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,398.68,518.70," 91,480 ",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,384.63,500.42," 88,375 ",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,551.66,717.73," 86,440 ",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,342.89,446.11," 86,252 ",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,346.30,450.55," 85,944 ",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,317.00,412.43," 83,896 ",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,372.61,484.78," 83,186 ",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,331.03,430.68," 81,805 ",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,266.92,347.27," 74,704 ",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,361.26,470.02," 70,359 ",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,334.17,434.77," 68,118 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,417.93,543.74," 67,129 ",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,409.40,532.64," 64,735 ",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,389.78,507.12," 62,393 ",,,,,,,,,,,
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,317.91,413.62," 62,011 ",,,,,,,,,,,
79,SAV,Savannah/Hilton Head International,Savannah,GA,468.03,608.92," 57,556 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,410.87,534.55," 57,118 ",,,,,,,,,,,
81,LGB,Long Beach Airport,Long Beach,CA,233.99,304.44," 57,022 ",,,,,,,,,,,
82,PNS,Pensacola International,Pensacola,FL,410.15,533.62," 54,946 ",,,,,,,,,,,
83,SYR,Syracuse Hancock International,Syracuse,NY,411.60,535.50," 52,889 ",,,,,,,,,,,
84,FAT,Fresno Yosemite International,Fresno,CA,408.44,531.40," 52,418 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,434.04,564.71," 49,200 ",,,,,,,,,,,
86,GSP,Greenville-Spartanburg International,Greer,SC,382.50,497.64," 49,148 ",,,,,,,,,,,
87,COS,City of Colorado Springs Municipal,Colorado Springs,CO,427.67,556.41," 48,798 ",,,,,,,,,,,
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,393.27,511.66," 48,278 ",,,,,,,,,,,
89,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,350.73,456.32," 47,981 ",,,,,,,,,,,
90,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,263.98,343.45," 44,410 ",,,,,,,,,,,
91,MYR,Myrtle Beach International,Myrtle Beach,SC,268.08,348.78," 44,035 ",,,,,,,,,,,
92,PWM,Portland International Jetport,Portland,ME,371.57,483.42," 43,040 ",,,,,,,,,,,
93,MSN,Dane County Regional-Truax Field,Madison,WI,445.23,579.26," 42,256 ",,,,,,,,,,,
94,BZN,Bozeman Yellowstone International,Bozeman,MT,438.17,570.08," 39,718 ",,,,,,,,,,,
95,SFB,Orlando Sanford International,Sanford,FL,134.73,175.29," 39,522 ",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,419.50,545.79," 39,514 ",,,,,,,,,,,
97,PIE,St Pete Clearwater International,St. Petersburg,FL,141.16,183.66," 37,944 ",,,,,,,,,,,
98,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,386.79,503.23," 37,538 ",,,,,,,,,,,
99,GSO,Piedmont Triad International,Greensboro/High Point,NC,386.76,503.18," 35,317 ",,,,,,,,,,,
100,HPN,Westchester County,White Plains,NY,338.08,439.86," 35,091 ",,,,,,,,,,,
101,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,472.59,614.86," 33,692 ",,,,,,,,,,,
102,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,165.90,215.84," 33,615 ",,,,,,,,,,,
103,AVL,Asheville Regional,Asheville,NC,389.71,507.03," 33,509 ",,,,,,,,,,,
104,XNA,Northwest Arkansas National,Fayetteville,AR,508.69,661.82," 33,498 ",,,,,,,,,,,
105,EUG,Mahlon Sweet Field,Eugene,OR,379.91,494.28," 33,026 ",,,,,,,,,,,
106,LIH,Lihue Airport,Lihue,HI,242.82,315.92," 32,532 ",,,,,,,,,,,
107,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,509.65,663.07," 31,183 ",,,,,,,,,,,
108,MDT,Harrisburg International,Harrisburg,PA,433.63,564.17," 30,949 ",,,,,,,,,,,
109,DAY,James M Cox/Dayton International,Dayton,OH,356.52,463.85," 30,855 ",,,,,,,,,,,
110,FSD,Joe Foss Field,Sioux Falls,SD,401.01,521.73," 29,802 ",,,,,,,,,,,
111,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,425.54,553.64," 29,251 ",,,,,,,,,,,
112,PGD,Punta Gorda Airport,Punta Gorda,FL,117.50,152.87," 28,272 ",,,,,,,,,,,
113,ISP,Long Island MacArthur,Islip,NY,296.36,385.58," 28,265 ",,,,,,,,,,,
114,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,416.90,542.41," 27,916 ",,,,,,,,,,,
115,LEX,Blue Grass,Lexington,KY,408.12,530.99," 27,888 ",,,,,,,,,,,
116,MAF,Midland International Air and Space Port,Midland/Odessa,TX,347.11,451.60," 27,625 ",,,,,,,,,,,
117,ECP,Northwest Florida Beaches International,Panama City,FL,385.45,501.49," 26,867 ",,,,,,,,,,,
118,SGF,Springfield-Branson National,Springfield,MO,444.67,578.53," 26,473 ",,,,,,,,,,,
119,MHT,Manchester Boston Regional,Manchester,NH,337.85,439.55," 26,222 ",,,,,,,,,,,
120,MFR,Rogue Valley International - Medford,Medford,OR,387.86,504.62," 26,110 ",,,,,,,,,,,
121,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,473.08,615.49," 25,469 ",,,,,,,,,,,
122,ILM,Wilmington International,Wilmington,NC,402.03,523.06," 24,558 ",,,,,,,,,,,
123,FAR,Hector International,Fargo,ND,469.75,611.16," 24,510 ",,,,,,,,,,,
124,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,357.59,465.24," 24,153 ",,,,,,,,,,,
125,CAE,Columbia Metropolitan,Columbia,SC,500.92,651.72," 24,128 ",,,,,,,,,,,
126,SBA,Santa Barbara Municipal,Santa Barbara,CA,426.19,554.49," 23,984 ",,,,,,,,,,,
127,RDM,Roberts Field,Bend/Redmond,OR,351.69,457.57," 23,093 ",,,,,,,,,,,
128,ATW,Appleton International,Appleton,WI,445.09,579.08," 22,839 ",,,,,,,,,,,
129,FWA,Fort Wayne International,Fort Wayne,IN,416.45,541.82," 22,770 ",,,,,,,,,,,
130,CHA,Lovell Field,Chattanooga,TN,407.71,530.45," 22,081 ",,,,,,,,,,,
131,LBB,Lubbock Preston Smith International,Lubbock,TX,350.14,455.55," 21,979 ",,,,,,,,,,,
132,SBN,South Bend International,South Bend,IN,391.67,509.58," 21,936 ",,,,,,,,,,,
133,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,389.56,506.83," 21,441 ",,,,,,,,,,,
134,BTV,Burlington International,Burlington,VT,412.27,536.38," 21,231 ",,,,,,,,,,,
135,FAI,Fairbanks International,Fairbanks,AK,559.00,727.28," 20,659 ",,,,,,,,,,,
136,BIL,Billings Logan International,Billings,MT,413.10,537.46," 19,384 ",,,,,,,,,,,
137,MSO,Missoula Montana,Missoula,MT,436.54,567.95," 19,023 ",,,,,,,,,,,
138,ACY,Atlantic City International,Atlantic City,NJ,183.43,238.65," 18,671 ",,,,,,,,,,,
139,STT,Cyril E King,Charlotte Amalie,VI,426.17,554.46," 18,308 ",,,,,,,,,,,
140,ITO,Hilo International,Hilo,HI,218.70,284.54," 17,964 ",,,,,,,,,,,
141,TLH,Tallahassee International,Tallahassee,FL,497.94,647.84," 17,768 ",,,,,,,,,,,
142,EYW,Key West International,Key West,FL,378.57,492.53," 17,045 ",,,,,,,,,,,
143,FCA,Glacier Park International,Kalispell,MT,473.43,615.95," 16,984 ",,,,,,,,,,,
144,HRL,Valley International,Harlingen/San Benito,TX,320.14,416.52," 16,866 ",,,,,,,,,,,
145,FNT,Bishop International,Flint,MI,334.90,435.72," 16,829 ",,,,,,,,,,,
146,PIA,General Downing - Peoria International,Peoria,IL,392.50,510.66," 16,755 ",,,,,,,,,,,
147,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,427.65,556.39," 16,605 ",,,,,,,,,,,
148,MLI,Quad Cities International,Moline,IL,411.33,535.15," 16,008 ",,,,,,,,,,,
149,AMA,Rick Husband Amarillo International,Amarillo,TX,351.23,456.97," 15,963 ",,,,,,,,,,,
150,CRP,Corpus Christi International,Corpus Christi,TX,437.35,569.01," 15,672 ",,,,,,,,,,,
151,AGS,Augusta Regional at Bush Field,Augusta,GA,436.51,567.92," 15,230 ",,,,,,,,,,,
152,GRB,Green Bay Austin Straubel International,Green Bay,WI,443.73,577.31," 15,022 ",,,,,,,,,,,
153,TVC,Cherry Capital,Traverse City,MI,539.94,702.48," 15,003 ",,,,,,,,,,,
154,RAP,Rapid City Regional,Rapid City,SD,470.81,612.54," 15,000 ",,,,,,,,,,,
155,BGR,Bangor International,Bangor,ME,412.40,536.55," 14,645 ",,,,,,,,,,,
156,SHV,Shreveport Regional,Shreveport,LA,521.98,679.11," 14,381 ",,,,,,,,,,,
157,JAC,Jackson Hole,Jackson,WY,537.59,699.43," 14,367 ",,,,,,,,,,,
158,ROA,Roanoke Blacksburg Regional,Roanoke,VA,453.01,589.38," 13,424 ",,,,,,,,,,,
159,BQN,Rafael Hernandez,Aguadilla,PR,253.12,329.32," 13,404 ",,,,,,,,,,,
160,DAB,Daytona Beach International,Daytona Beach,FL,341.07,443.74," 13,300 ",,,,,,,,,,,
161,GJT,Grand Junction Regional,Grand Junction,CO,427.39,556.05," 13,180 ",,,,,,,,,,,
162,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,497.09,646.74," 13,002 ",,,,,,,,,,,
163,BIS,Bismarck Municipal,Bismarck/Mandan,ND,518.51,674.60," 12,907 ",,,,,,,,,,,
164,CHO,Charlottesville Albemarle,Charlottesville,VA,460.77,599.48," 12,825 ",,,,,,,,,,,
165,CAK,Akron-Canton Regional,Akron,OH,310.66,404.19," 12,492 ",,,,,,,,,,,
166,MOB,Mobile Regional,Mobile,AL,512.79,667.16," 12,256 ",,,,,,,,,,,
167,GNV,Gainesville Regional,Gainesville,FL,428.80,557.89," 12,222 ",,,,,,,,,,,
168,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,459.42,597.72," 11,902 ",,,,,,,,,,,
169,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,444.71,578.59," 11,792 ",,,,,,,,,,,
170,IDA,Idaho Falls Regional,Idaho Falls,ID,458.94,597.10," 11,705 ",,,,,,,,,,,
171,SBP,San Luis County Regional,San Luis Obispo,CA,390.81,508.46," 11,284 ",,,,,,,,,,,
172,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,262.04,340.93," 10,338 ",,,,,,,,,,,
173,LCK,Rickenbacker International,Columbus,OH,248.00,322.66," 10,329 ",,,,,,,,,,,
174,EVV,Evansville Regional,Evansville,IN,500.36,650.99," 10,307 ",,,,,,,,,,,
175,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,441.95,575.00," 10,155 ",,,,,,,,,,,
176,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,430.22,559.74," 10,009 ",,,,,,,,,,,
177,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,341.07,443.74," 9,970 ",,,,,,,,,,,
178,JNU,Juneau International,Juneau,AK,487.25,633.93," 9,873 ",,,,,,,,,,,
179,MRY,Monterey Regional,Monterey,CA,421.64,548.57," 9,503 ",,,,,,,,,,,
180,BLI,Bellingham International,Bellingham,WA,259.33,337.39," 9,292 ",,,,,,,,,,,
181,MLB,Melbourne Orlando International,Melbourne,FL,361.63,470.50," 9,185 ",,,,,,,,,,,
182,DRO,Durango La Plata County,Durango,CO,414.03,538.67," 9,163 ",,,,,,,,,,,
183,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,426.83,555.32," 8,897 ",,,,,,,,,,,
184,BFL,Meadows Field,Bakersfield,CA,448.79,583.90," 8,531 ",,,,,,,,,,,
185,GRK,Robert Gray AAF,Killeen,TX,514.10,668.86," 8,517 ",,,,,,,,,,,
186,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,407.04,529.57," 8,170 ",,,,,,,,,,,
187,MOT,Minot International,Minot,ND,556.06,723.46," 7,755 ",,,,,,,,,,,
188,SGU,St George Regional,St. George,UT,161.71,210.39," 7,705 ",,,,,,,,,,,
189,GTF,Great Falls International,Great Falls,MT,422.88,550.18," 7,637 ",,,,,,,,,,,
190,RFD,Chicago/Rockford International,Rockford,IL,209.96,273.16," 7,383 ",,,,,,,,,,,
191,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,540.80,703.60," 7,337 ",,,,,,,,,,,
192,STX,Henry E. Rohlsen,Christiansted,VI,516.91,672.53," 7,334 ",,,,,,,,,,,
193,MTJ,Montrose Regional,Montrose/Delta,CO,542.97,706.42," 7,013 ",,,,,,,,,,,
194,SCE,University Park,State College,PA,497.74,647.58," 6,866 ",,,,,,,,,,,
195,DLH,Duluth International,Duluth,MN,441.83,574.83," 6,652 ",,,,,,,,,,,
196,MGM,Montgomery Regional,Montgomery,AL,477.76,621.58," 6,584 ",,,,,,,,,,,
197,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,259.31,337.37," 6,574 ",,,,,,,,,,,
198,HHH,Hilton Head Airport,Hilton Head,SC,487.77,634.61," 6,408 ",,,,,,,,,,,
199,LBE,Arnold Palmer Regional,Latrobe,PA,146.28,190.32," 6,136 ",,,,,,,,,,,
200,BRO,Brownsville South Padre Island International,Brownsville,TX,511.70,665.74," 6,127 ",,,,,,,,,,,
201,LAN,Capital Region International,Lansing,MI,433.59,564.11," 5,888 ",,,,,,,,,,,
202,LRD,Laredo International,Laredo,TX,413.77,538.33," 5,865 ",,,,,,,,,,,
203,AEX,Alexandria International,Alexandria,LA,516.82,672.40," 5,806 ",,,,,,,,,,,
204,CWA,Central Wisconsin,Mosinee,WI,460.28,598.85," 5,754 ",,,,,,,,,,,
205,PVU,Provo Municipal,Provo,UT,232.33,302.28," 5,688 ",,,,,,,,,,,
206,TOL,Eugene F Kranz Toledo Express,Toledo,OH,289.88,377.15," 5,563 ",,,,,,,,,,,
207,LSE,La Crosse Regional,La Crosse,WI,561.99,731.17," 5,497 ",,,,,,,,,,,
208,EGE,Eagle County Regional,Eagle,CO,603.89,785.69," 5,285 ",,,,,,,,,,,
209,YUM,Yuma MCAS/Yuma International,Yuma,AZ,470.33,611.92," 5,255 ",,,,,,,,,,,
210,SCK,Stockton Metro,Stockton,CA,137.20,178.51," 5,232 ",,,,,,,,,,,
211,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,579.23,753.60," 5,176 ",,,,,,,,,,,
212,RST,Rochester International,Rochester,MN,470.96,612.73," 5,139 ",,,,,,,,,,,
213,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,331.44,431.22," 5,060 ",,,,,,,,,,,
214,LNK,Lincoln Airport,Lincoln,NE,470.71,612.41," 5,033 ",,,,,,,,,,,
215,ELM,Elmira/Corning Regional,Elmira/Corning,NY,391.86,509.83," 5,016 ",,,,,,,,,,,
216,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,458.06,595.96," 4,875 ",,,,,,,,,,,
217,MLU,Monroe Regional,Monroe,LA,493.36,641.88," 4,860 ",,,,,,,,,,,
218,FLG,Flagstaff Pulliam,Flagstaff,AZ,429.05,558.22," 4,845 ",,,,,,,,,,,
219,COU,Columbia Regional,Columbia,MO,415.92,541.12," 4,701 ",,,,,,,,,,,
220,HDN,Yampa Valley,Hayden,CO,483.53,629.10," 4,571 ",,,,,,,,,,,
221,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,425.65,553.79," 4,529 ",,,,,,,,,,,
222,ERI,Erie International/Tom Ridge Field,Erie,PA,408.71,531.74," 4,465 ",,,,,,,,,,,
223,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,348.97,454.03," 4,411 ",,,,,,,,,,,
224,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,472.39,614.60," 4,256 ",,,,,,,,,,,
225,ABI,Abilene Regional,Abilene,TX,512.15,666.33," 4,199 ",,,,,,,,,,,
226,ACK,Nantucket Memorial,Nantucket,MA,327.11,425.58," 4,191 ",,,,,,,,,,,
227,MBS,MBS International,Saginaw/Bay City/Midland,MI,474.77,617.70," 4,177 ",,,,,,,,,,,
228,GFK,Grand Forks International,Grand Forks,ND,466.04,606.33," 4,123 ",,,,,,,,,,,
229,SAF,Santa Fe Municipal,Santa Fe,NM,456.17,593.50," 4,034 ",,,,,,,,,,,
230,SPI,Abraham Lincoln Capital,Springfield,IL,348.10,452.90," 4,033 ",,,,,,,,,,,
231,KTN,Ketchikan International,Ketchikan,AK,481.36,626.27," 4,031 ",,,,,,,,,,,
232,GUM,Guam International,Guam,TT,1596.56,2077.19," 3,980 ",,,,,,,,,,,
233,BET,Bethel Airport,Bethel,AK,425.23,553.24," 3,893 ",,,,,,,,,,,
234,CPR,Casper/Natrona County International,Casper,WY,418.64,544.67," 3,792 ",,,,,,,,,,,
235,HLN,Helena Regional,Helena,MT,530.15,689.75," 3,759 ",,,,,,,,,,,
236,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,248.31,323.06," 3,753 ",,,,,,,,,,,
237,GRI,Central Nebraska Regional,Grand Island,NE,253.63,329.99," 3,669 ",,,,,,,,,,,
238,CLL,Easterwood Field,College Station/Bryan,TX,503.09,654.53," 3,608 ",,,,,,,,,,,
239,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,455.70,592.88," 3,513 ",,,,,,,,,,,
240,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,370.17,481.61," 3,452 ",,,,,,,,,,,
241,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,462.15,601.27," 3,427 ",,,,,,,,,,,
242,CMI,University of Illinois/Willard,Champaign/Urbana,IL,496.81,646.37," 3,301 ",,,,,,,,,,,
243,RDD,Redding Municipal,Redding,CA,348.75,453.74," 3,292 ",,,,,,,,,,,
244,LCH,Lake Charles Regional,Lake Charles,LA,510.06,663.61," 3,278 ",,,,,,,,,,,
245,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,427.53,556.23," 3,259 ",,,,,,,,,,,
