Average Domestic Airline Itinerary Fares By Origin City for 2012 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,401.84,512.21," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,385.05,490.81," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,365.82,466.30," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,320.91,409.05," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,477.06,608.09," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,382.80,487.94," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,430.71,549.01," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,331.83,422.97," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,278.43,354.91," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,371.25,473.22," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,398.11,507.46," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,408.14,520.24," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,269.62,343.68," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,437.25,557.35," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,399.08,508.69," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,404.96,516.18," 430,570 ",,,,,,,,,,,
