Average Domestic Airline Itinerary Fares By Origin City for 2016 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,355.90,433.97," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,317.98,387.73," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,350.96,427.95," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,311.95,380.38," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,429.75,524.02," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,332.40,405.32," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,348.99,425.55," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,327.14,398.90," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,253.87,309.56," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,349.34,425.98," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,396.12,483.01," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,395.74,482.55," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,227.52,277.43," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,386.39,471.14," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,366.17,446.50," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,376.53,459.13," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,241.77,294.80," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,431.39,526.02," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,329.20,401.42," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,353.27,430.76," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,312.21,380.69," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,303.24,369.76," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,317.36,386.98," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,372.45,454.15," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,367.96,448.68," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,324.05,395.13," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,338.31,412.52," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,415.91,507.14," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,356.95,435.25," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,362.01,441.42," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,279.81,341.19," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,354.87,432.71," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,362.69,442.25," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,285.26,347.83," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,277.65,338.55," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,354.34,432.06," 207,664 ",,,,,,,,,,,
