Average Domestic Airline Itinerary Fares By Origin City for 2018 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,352.79,411.17," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,338.55,394.56," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,360.85,420.56," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,302.55,352.61," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,403.74,470.55," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,337.31,393.12," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,383.43,446.87," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,338.57,394.59," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,249.74,291.06," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,328.21,382.51," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,390.20,454.76," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,379.43,442.21," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,240.35,280.12," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,372.21,433.79," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,379.26,442.01," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,373.37,435.15," 430,570 ",,,,,,,,,,,
