Average Domestic Airline Itinerary Fares By Origin City for 2017 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,352.52,420.88," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,317.14,378.64," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,350.91,418.96," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,298.97,356.95," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,401.20,479.01," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,335.44,400.50," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,362.79,433.14," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,327.12,390.56," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,249.33,297.68," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,335.98,401.13," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,393.56,469.89," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,384.99,459.65," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,239.01,285.36," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,371.27,443.27," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,381.12,455.03," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,369.48,441.14," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,236.41,282.26," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,409.08,488.41," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,316.57,377.96," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,337.85,403.37," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,310.53,370.75," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,305.40,364.62," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,313.26,374.01," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,354.14,422.82," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,351.74,419.95," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,321.91,384.34," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,339.85,405.76," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,413.38,493.54," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,357.81,427.20," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,352.21,420.51," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,279.93,334.21," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,354.29,422.99," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,365.23,436.06," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,290.46,346.79," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,289.20,345.28," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,349.52,417.30," 207,664 ",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,350.69,418.70," 206,535 ",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,368.70,440.20," 201,225 ",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,317.22,378.74," 199,421 ",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,307.11,366.67," 194,429 ",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,293.26,350.13," 194,387 ",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,300.70,359.02," 188,154 ",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,424.80,507.18," 187,452 ",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,335.72,400.82," 183,219 ",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,353.84,422.46," 182,534 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,357.36,426.66," 181,455 ",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,374.44,447.06," 180,661 ",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,329.40,393.28," 173,112 ",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,366.22,437.24," 167,522 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,312.52,373.12," 164,832 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,373.77,446.25," 142,941 ",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,337.54,403.00," 131,320 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,384.20,458.70," 129,900 ",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,336.52,401.78," 128,292 ",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,322.88,385.50," 120,424 ",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,370.31,442.12," 106,587 ",,,,,,,,,,,
