2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,342.60,557.40,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,338.23,550.29,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,305.63,497.26,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,366.38,596.09,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,399.04,649.23,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,311.93,507.51,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,386.03,628.07,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,248.33,404.03,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,267.78,435.68,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,355.47,578.34,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,334.84,544.79,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,418.97,681.66,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,221.29,360.03,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,401.60,653.39,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,369.45,601.09,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,327.57,532.96,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,243.60,396.33,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,376.50,612.56,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,314.24,511.26,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,292.07,475.20,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,259.83,422.74,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,339.66,552.63,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,262.19,426.58,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,315.35,513.07,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,294.80,479.63,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,294.38,478.95,"318,399",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,344.49,560.48,"308,850",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,449.08,730.65,"291,628",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,281.25,457.59,"290,447",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,249.30,405.61,"265,377",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,216.05,351.52,"254,220",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,265.14,431.38,"241,426",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,303.11,493.16,"227,117",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,322.10,524.06,"221,048",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,172.71,281.00,"213,582",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,267.53,435.26,"207,664",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,286.36,465.91,"206,535",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,159.56,259.61,"201,225",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,330.26,537.33,"199,421",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,263.00,427.90,"194,429",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,233.24,379.48,"194,387",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,265.31,431.66,"188,154",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,441.31,718.00,"187,452",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,446.70,726.78,"183,219",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,312.04,507.69,"182,534",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,359.19,584.40,"181,455",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,304.63,495.63,"180,661",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,231.03,375.89,"173,112",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,274.99,447.41,"167,522",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,288.41,469.24,"164,832",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,318.30,517.87,"142,941",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,344.39,560.31,"131,320",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,275.98,449.01,"129,900",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,246.55,401.13,"128,292",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,288.25,468.98,"120,424",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,290.15,472.08,"106,587",,,,,,,,,,,
57,MEM,Memphis International,Memphis,TN,364.80,593.52,"106,166",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,414.25,673.99,"99,005",,,,,,,,,,,
59,BOI,Boise Air Terminal,Boise,ID,265.41,431.81,"97,566",,,,,,,,,,,
60,BUR,Bob Hope,Burbank,CA,196.82,320.22,"97,139",,,,,,,,,,,
61,ORF,Norfolk International,Norfolk,VA,310.64,505.41,"96,550",,,,,,,,,,,
62,CHS,Charleston AFB/International,Charleston,SC,433.47,705.25,"92,905",,,,,,,,,,,
63,GRR,Gerald R. Ford International,Grand Rapids,MI,346.09,563.09,"91,893",,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,303.86,494.37,"91,480",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,281.83,458.53,"88,375",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,423.26,688.64,"86,440",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,256.00,416.51,"86,252",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,277.19,450.98,"85,944",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,253.23,412.01,"83,896",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,260.91,424.49,"83,186",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,225.09,366.22,"81,805",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,93.11,151.49,"74,704",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,280.27,455.99,"70,359",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,295.01,479.98,"68,118",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,344.36,560.27,"67,129",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,297.84,484.58,"64,735",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,303.40,493.62,"62,393",,,,,,,,,,,
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,324.34,527.70,"62,011",,,,,,,,,,,
79,SAV,Savannah/Hilton Head International,Savannah,GA,308.62,502.12,"57,556",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,309.83,504.10,"57,118",,,,,,,,,,,
81,LGB,Long Beach Airport,Long Beach,CA,275.82,448.76,"57,022",,,,,,,,,,,
82,PNS,Pensacola International,Pensacola,FL,319.46,519.75,"54,946",,,,,,,,,,,
83,SYR,Syracuse Hancock International,Syracuse,NY,346.11,563.12,"52,889",,,,,,,,,,,
84,FAT,Fresno Yosemite International,Fresno,CA,374.29,608.96,"52,418",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,425.49,692.27,"49,200",,,,,,,,,,,
86,GSP,Greenville-Spartanburg International,Greer,SC,463.76,754.53,"49,148",,,,,,,,,,,
87,COS,City of Colorado Springs Municipal,Colorado Springs,CO,376.74,612.96,"48,798",,,,,,,,,,,
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,296.22,481.95,"48,278",,,,,,,,,,,
