2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,336.82,556.70,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,374.32,618.67,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,328.77,543.39,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,412.28,681.41,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,421.09,695.97,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,319.69,528.38,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,413.06,682.70,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,250.89,414.67,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,265.63,439.03,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,381.50,630.54,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,382.92,632.89,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,434.24,717.70,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,217.57,359.59,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,383.17,633.31,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,401.06,662.87,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,333.98,552.01,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,240.77,397.94,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,384.61,635.69,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,329.31,544.28,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,288.75,477.24,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,264.03,436.39,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,355.62,587.76,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,263.43,435.40,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,310.63,513.41,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,279.86,462.56,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,294.77,487.20,"318,399",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,347.54,574.41,"308,850",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,491.17,811.80,"291,628",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,272.19,449.88,"290,447",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,247.82,409.59,"265,377",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,215.08,355.48,"254,220",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,277.85,459.23,"241,426",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,321.57,531.49,"227,117",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,352.83,583.16,"221,048",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,176.14,291.12,"213,582",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,262.26,433.46,"207,664",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,293.86,485.70,"206,535",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,155.91,257.70,"201,225",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,329.64,544.83,"199,421",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,272.03,449.61,"194,429",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,228.10,377.00,"194,387",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,255.74,422.68,"188,154",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,456.78,754.97,"187,452",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,452.11,747.25,"183,219",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,339.67,561.41,"182,534",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,360.26,595.43,"181,455",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,285.58,472.00,"180,661",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,213.77,353.32,"173,112",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,284.08,469.53,"167,522",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,296.51,490.06,"164,832",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,320.39,529.55,"142,941",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,361.35,597.24,"131,320",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,273.11,451.40,"129,900",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,238.93,394.90,"128,292",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,283.72,468.93,"120,424",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,284.46,470.16,"106,587",,,,,,,,,,,
57,MEM,Memphis International,Memphis,TN,370.74,612.76,"106,166",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,457.41,756.00,"99,005",,,,,,,,,,,
59,BOI,Boise Air Terminal,Boise,ID,257.97,426.37,"97,566",,,,,,,,,,,
60,BUR,Bob Hope,Burbank,CA,184.01,304.13,"97,139",,,,,,,,,,,
61,ORF,Norfolk International,Norfolk,VA,359.22,593.72,"96,550",,,,,,,,,,,
62,CHS,Charleston AFB/International,Charleston,SC,443.70,733.35,"92,905",,,,,,,,,,,
63,GRR,Gerald R. Ford International,Grand Rapids,MI,384.34,635.23,"91,893",,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,293.26,484.69,"91,480",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,269.05,444.69,"88,375",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,413.43,683.32,"86,440",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,243.47,402.40,"86,252",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,257.87,426.21,"85,944",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,247.48,409.04,"83,896",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,248.15,410.14,"83,186",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,217.80,359.98,"81,805",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,85.87,141.93,"74,704",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,269.10,444.77,"70,359",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,284.61,470.40,"68,118",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,386.75,639.21,"67,129",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,288.68,477.12,"64,735",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,290.38,479.93,"62,393",,,,,,,,,,,
