2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,338.08,537.84,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,339.96,540.84,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,304.49,484.41,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,341.96,544.02,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,407.35,648.05,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,320.81,510.37,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,393.59,626.15,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,251.06,399.40,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,263.16,418.65,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,362.09,576.04,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,302.72,481.59,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,428.67,681.96,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,228.63,363.72,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,398.72,634.31,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,378.74,602.53,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,340.83,542.22,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,241.40,384.04,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,372.64,592.82,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,315.19,501.43,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,292.56,465.43,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,260.76,414.83,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,338.69,538.81,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,263.88,419.80,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,325.00,517.04,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,292.28,464.99,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,302.28,480.88,"318,399",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,354.41,563.82,"308,850",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,461.16,733.65,"291,628",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,284.42,452.47,"290,447",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,257.69,409.95,"265,377",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,218.29,347.27,"254,220",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,295.75,470.50,"241,426",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,315.30,501.60,"227,117",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,314.83,500.86,"221,048",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,172.07,273.75,"213,582",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,265.52,422.40,"207,664",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,282.19,448.93,"206,535",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,205.78,327.37,"201,225",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,339.99,540.88,"199,421",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,262.87,418.19,"194,429",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,230.38,366.51,"194,387",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,266.81,424.46,"188,154",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,437.82,696.52,"187,452",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,451.99,719.06,"183,219",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,305.25,485.62,"182,534",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,349.84,556.55,"181,455",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,313.29,498.41,"180,661",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,229.83,365.62,"173,112",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,303.12,482.23,"167,522",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,280.77,446.67,"164,832",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,336.11,534.71,"142,941",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,296.15,471.14,"131,320",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,286.96,456.51,"129,900",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,247.86,394.31,"128,292",,,,,,,,,,,
