Average Domestic Airline Itinerary Fares By Origin City for 2019 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,356.56,408.16," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,344.89,394.80," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,370.49,424.10," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,300.48,343.97," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,407.21,466.14," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,336.51,385.21," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,402.57,460.83," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,348.77,399.25," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,251.75,288.18," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,337.73,386.61," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,402.31,460.53," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,397.16,454.64," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,243.05,278.22," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,367.09,420.21," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,370.65,424.29," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,378.03,432.74," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,257.61,294.89," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,406.90,465.78," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,334.38,382.77," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,327.60,375.01," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,308.48,353.12," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,335.34,383.87," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,324.64,371.62," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,339.52,388.65," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,376.25,430.70," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,338.41,387.39," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,372.20,426.06," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,411.88,471.48," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,336.26,384.92," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,334.84,383.30," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,310.71,355.68," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,329.60,377.29," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,367.13,420.26," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,281.33,322.04," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,319.69,365.95," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,365.00,417.82," 207,664 ",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,360.70,412.90," 206,535 ",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,343.89,393.66," 201,225 ",,,,,,,,,,,
