Average Domestic Airline Itinerary Fares By Origin City for 2010 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,369.76,496.27," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,355.73,477.43," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,334.76,449.28," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,295.79,396.98," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,450.02,603.97," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,343.97,461.65," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,402.98,540.85," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,310.75,417.06," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,245.48,329.47," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,335.43,450.18," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,355.80,477.53," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,371.94,499.19," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,257.98,346.23," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,384.94,516.63," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,343.79,461.40," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,353.75,474.77," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,247.05,331.57," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,429.15,575.97," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,320.82,430.58," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,322.46,432.78," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,284.50,381.83," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,334.27,448.63," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,284.45,381.76," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,342.14,459.19," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,345.47,463.66," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,350.32,470.17," 318,399 ",,,,,,,,,,,
