Average Domestic Airline Itinerary Fares By Origin City for 2021 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,322.20,347.99," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,284.93,307.74," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,303.74,328.05," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,271.37,293.09," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,313.97,339.10," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,308.81,333.52," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,319.66,345.25," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,292.23,315.62," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,220.15,237.77," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,329.44,355.81," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,338.82,365.94," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,388.38,419.46," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,230.91,249.39," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,305.72,330.19," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,307.58,332.19," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,326.08,352.17," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,213.98,231.10," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,324.59,350.57," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,283.63,306.33," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,329.02,355.35," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,257.98,278.63," 369,882 ",,,,,,,,,,,
