Average Domestic Airline Itinerary Fares By Origin City for 2007 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,370.01,522.25," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,326.17,460.38," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,357.78,505.00," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,316.79,447.14," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,379.98,536.32," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,354.13,499.84," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,364.99,515.17," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,283.19,399.72," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,253.00,357.09," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,354.64,500.56," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,341.67,482.25," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,428.03,604.14," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,244.14,344.59," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,364.65,514.69," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,313.27,442.16," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,307.29,433.72," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,253.87,358.32," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,379.14,535.15," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,320.24,452.01," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,312.15,440.58," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,268.74,379.32," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,326.71,461.13," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,266.48,376.13," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,342.24,483.06," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,338.70,478.06," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,331.94,468.52," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,362.37,511.47," 308,850 ",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,361.61,510.40," 291,628 ",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,292.25,412.50," 290,447 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,286.67,404.63," 265,377 ",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,224.27,316.54," 254,220 ",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,302.73,427.28," 241,426 ",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,313.14,441.99," 227,117 ",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,305.84,431.68," 221,048 ",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,197.33,278.52," 213,582 ",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,286.40,404.24," 207,664 ",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,305.16,430.72," 206,535 ",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,247.48,349.31," 201,225 ",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,336.25,474.60," 199,421 ",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,275.76,389.22," 194,429 ",,,,,,,,,,,
