Average Domestic Airline Itinerary Fares By Origin City for 2015 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,398.62,492.20," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,359.19,443.51," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,390.24,481.84," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,326.65,403.32," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,472.14,582.97," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,367.00,453.15," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,383.25,473.21," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,349.17,431.14," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,291.16,359.51," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,377.74,466.41," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,430.52,531.58," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,427.08,527.33," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,248.48,306.81," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,429.15,529.89," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,399.07,492.75," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,416.23,513.93," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,269.44,332.69," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,445.14,549.63," 425,283 ",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,369.48,456.21," 416,891 ",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,365.84,451.71," 389,451 ",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,319.52,394.52," 369,882 ",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,359.77,444.23," 367,731 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,331.12,408.85," 349,143 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,371.99,459.31," 322,913 ",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,389.44,480.85," 321,120 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,359.71,444.15," 318,399 ",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,358.86,443.10," 308,850 ",,,,,,,,,,,
